Diagnóstico,Provincia,Sexo,Hospitalizaciones,Habitantes,Porcentaje_H,Metales Pesados,Indice_Contaminación
"Neoplasia maligna de tráquea, bronquios y pulmón",Almería,Hombres,2615,350979,0.75,5.455299999999999,14.133429999999999
"Neoplasia maligna de tráquea, bronquios y pulmón",Almería,Mujeres,681,338341,0.2,5.455299999999999,14.133429999999999
"Neoplasia maligna de tráquea, bronquios y pulmón",Cádiz,Hombres,6505,620463,1.05,15.1766,15.8576
"Neoplasia maligna de tráquea, bronquios y pulmón",Cádiz,Mujeres,929,624899,0.15,15.1766,15.8576
"Neoplasia maligna de tráquea, bronquios y pulmón",Córdoba,Hombres,3501,394505,0.89,4.0007,13.01471
"Neoplasia maligna de tráquea, bronquios y pulmón",Córdoba,Mujeres,826,408212,0.2,4.0007,13.01471
"Neoplasia maligna de tráquea, bronquios y pulmón",Granada,Hombres,3362,458053,0.73,6.7975,19.43961
"Neoplasia maligna de tráquea, bronquios y pulmón",Granada,Mujeres,732,464408,0.16,6.7975,19.43961
"Neoplasia maligna de tráquea, bronquios y pulmón",Huelva,Hombres,1821,257850,0.71,6.4065,17.635229999999996
"Neoplasia maligna de tráquea, bronquios y pulmón",Huelva,Mujeres,386,262130,0.15,6.4065,17.635229999999996
"Neoplasia maligna de tráquea, bronquios y pulmón",Jaén,Hombres,2591,333760,0.78,3.7175000000000002,17.232229999999998
"Neoplasia maligna de tráquea, bronquios y pulmón",Jaén,Mujeres,402,333500,0.12,3.7175000000000002,17.232229999999998
"Neoplasia maligna de tráquea, bronquios y pulmón",Málaga,Hombres,7021,789052,0.89,3.6226,12.4383
"Neoplasia maligna de tráquea, bronquios y pulmón",Málaga,Mujeres,2073,809085,0.26,3.6226,12.4383
"Neoplasia maligna de tráquea, bronquios y pulmón",Sevilla,Hombres,7911,947826,0.83,3.792,15.827900000000001
"Neoplasia maligna de tráquea, bronquios y pulmón",Sevilla,Mujeres,1225,984746,0.12,3.792,15.827900000000001
"Neoplasia maligna de tráquea, bronquios y pulmón",Huesca,Hombres,1179,114693,1.03,3.2630999999999997,10.09104
"Neoplasia maligna de tráquea, bronquios y pulmón",Huesca,Mujeres,207,111128,0.19,3.2630999999999997,10.09104
"Neoplasia maligna de tráquea, bronquios y pulmón",Teruel,Hombres,584,73240,0.8,3.2630999999999997,11.239230000000001
"Neoplasia maligna de tráquea, bronquios y pulmón",Teruel,Mujeres,121,69678,0.17,3.2630999999999997,11.239230000000001
"Neoplasia maligna de tráquea, bronquios y pulmón",Zaragoza,Hombres,5544,481700,1.15,3.2630999999999997,11.80884
"Neoplasia maligna de tráquea, bronquios y pulmón",Zaragoza,Mujeres,1397,493351,0.28,3.2630999999999997,11.80884
"Neoplasia maligna de tráquea, bronquios y pulmón",Asturias,Hombres,8824,515503,1.71,1.2296,9.72262
"Neoplasia maligna de tráquea, bronquios y pulmón",Asturias,Mujeres,2291,558801,0.41,1.2296,9.72262
"Neoplasia maligna de tráquea, bronquios y pulmón",Islas Baleares,Hombres,5720,552593,1.04,5.261100000000001,10.8823
"Neoplasia maligna de tráquea, bronquios y pulmón",Islas Baleares,Mujeres,1819,548122,0.33,5.261100000000001,10.8823
"Neoplasia maligna de tráquea, bronquios y pulmón",Las Palmas,Hombres,5345,546215,0.98,3.2630999999999997,11.81175
"Neoplasia maligna de tráquea, bronquios y pulmón",Las Palmas,Mujeres,1597,542836,0.29,3.2630999999999997,11.81175
"Neoplasia maligna de tráquea, bronquios y pulmón",Santa Cruz de Tenerife,Hombres,3111,494731,0.63,3.2630999999999997,11.81175
"Neoplasia maligna de tráquea, bronquios y pulmón",Santa Cruz de Tenerife,Mujeres,1008,502146,0.2,3.2630999999999997,11.81175
"Neoplasia maligna de tráquea, bronquios y pulmón",Cantabria,Hombres,2603,290133,0.9,2.9034,11.64288
"Neoplasia maligna de tráquea, bronquios y pulmón",Cantabria,Mujeres,819,302254,0.27,2.9034,11.64288
"Neoplasia maligna de tráquea, bronquios y pulmón",Ávila,Hombres,1582,86617,1.83,3.2630999999999997,11.81175
"Neoplasia maligna de tráquea, bronquios y pulmón",Ávila,Mujeres,175,84748,0.21,3.2630999999999997,11.81175
"Neoplasia maligna de tráquea, bronquios y pulmón",Burgos,Hombres,2105,188155,1.12,3.2630999999999997,10.700000000000001
"Neoplasia maligna de tráquea, bronquios y pulmón",Burgos,Mujeres,624,184035,0.34,3.2630999999999997,10.700000000000001
"Neoplasia maligna de tráquea, bronquios y pulmón",León,Hombres,3901,241096,1.62,1.8335000000000001,11.79924
"Neoplasia maligna de tráquea, bronquios y pulmón",León,Mujeres,867,251727,0.34,1.8335000000000001,11.79924
"Neoplasia maligna de tráquea, bronquios y pulmón",Palencia,Hombres,1300,84416,1.54,3.2630999999999997,10.092
"Neoplasia maligna de tráquea, bronquios y pulmón",Palencia,Mujeres,227,85885,0.26,3.2630999999999997,10.092
"Neoplasia maligna de tráquea, bronquios y pulmón",Salamanca,Hombres,1550,171226,0.91,3.2630999999999997,11.81175
"Neoplasia maligna de tráquea, bronquios y pulmón",Salamanca,Mujeres,385,178399,0.22,3.2630999999999997,11.81175
"Neoplasia maligna de tráquea, bronquios y pulmón",Segovia,Hombres,663,82478,0.8,3.2630999999999997,11.81175
"Neoplasia maligna de tráquea, bronquios y pulmón",Segovia,Mujeres,253,80458,0.31,3.2630999999999997,11.81175
"Neoplasia maligna de tráquea, bronquios y pulmón",Soria,Hombres,717,47977,1.49,1.6333,12.05892
"Neoplasia maligna de tráquea, bronquios y pulmón",Soria,Mujeres,78,46486,0.17,1.6333,12.05892
"Neoplasia maligna de tráquea, bronquios y pulmón",Valladolid,Hombres,4476,261249,1.71,1.1134,10.22991
"Neoplasia maligna de tráquea, bronquios y pulmón",Valladolid,Mujeres,880,271394,0.32,1.1134,10.22991
"Neoplasia maligna de tráquea, bronquios y pulmón",Zamora,Hombres,1754,95062,1.85,1.5228,5.64784
"Neoplasia maligna de tráquea, bronquios y pulmón",Zamora,Mujeres,327,96244,0.34,1.5228,5.64784
"Neoplasia maligna de tráquea, bronquios y pulmón",Albacete,Hombres,1522,201085,0.76,3.2630999999999997,11.81175
"Neoplasia maligna de tráquea, bronquios y pulmón",Albacete,Mujeres,250,200505,0.12,3.2630999999999997,11.81175
"Neoplasia maligna de tráquea, bronquios y pulmón",Ciudad Real,Hombres,3158,262148,1.2,4.3717,11.86631
"Neoplasia maligna de tráquea, bronquios y pulmón",Ciudad Real,Mujeres,527,264134,0.2,4.3717,11.86631
"Neoplasia maligna de tráquea, bronquios y pulmón",Cuenca,Hombres,757,108781,0.7,3.2630999999999997,11.81175
"Neoplasia maligna de tráquea, bronquios y pulmón",Cuenca,Mujeres,59,105971,0.06,3.2630999999999997,11.81175
"Neoplasia maligna de tráquea, bronquios y pulmón",Guadalajara,Hombres,603,132200,0.46,3.2630999999999997,5.2560400000000005
"Neoplasia maligna de tráquea, bronquios y pulmón",Guadalajara,Mujeres,122,125531,0.1,3.2630999999999997,5.2560400000000005
"Neoplasia maligna de tráquea, bronquios y pulmón",Toledo,Hombres,4730,358439,1.32,2.9287,6.33242
"Neoplasia maligna de tráquea, bronquios y pulmón",Toledo,Mujeres,926,347143,0.27,2.9287,6.33242
"Neoplasia maligna de tráquea, bronquios y pulmón",Barcelona,Hombres,38147,2703747,1.41,5.6978,15.95868
"Neoplasia maligna de tráquea, bronquios y pulmón",Barcelona,Mujeres,9746,2814529,0.35,5.6978,15.95868
"Neoplasia maligna de tráquea, bronquios y pulmón",Girona,Hombres,4078,378879,1.08,3.4097999999999997,12.32667
