Diagnóstico,Provincia,Sexo,Hospitalizaciones,Habitantes,Porcentaje_H,Metales Pesados,Indice_Contaminación
6,3,0,2615,350979,0.75,5.4553,14.1334
6,3,1,681,338341,0.2,5.4553,14.1334
6,14,0,6505,620463,1.05,15.1766,15.8576
6,14,1,929,624899,0.15,15.1766,15.8576
6,15,0,3501,394505,0.89,4.0007,13.0147
6,15,1,826,408212,0.2,4.0007,13.0147
6,18,0,3362,458053,0.73,6.7975,19.4396
6,18,1,732,464408,0.16,6.7975,19.4396
6,20,0,1821,257850,0.71,6.4065,17.6352
6,20,1,386,262130,0.15,6.4065,17.6352
6,23,0,2591,333760,0.78,3.7175,17.2322
6,23,1,402,333500,0.12,3.7175,17.2322
6,31,0,7021,789052,0.89,3.6226,12.4383
6,31,1,2073,809085,0.26,3.6226,12.4383
6,39,0,7911,947826,0.83,3.792,15.8279
6,39,1,1225,984746,0.12,3.792,15.8279
6,21,0,1179,114693,1.03,3.2631,10.091
6,21,1,207,111128,0.19,3.2631,10.091
6,42,0,584,73240,0.8,3.2631,11.2392
6,42,1,121,69678,0.17,3.2631,11.2392
6,47,0,5544,481700,1.15,3.2631,11.8088
6,47,1,1397,493351,0.28,3.2631,11.8088
6,4,0,8824,515503,1.71,1.2296,9.7226
6,4,1,2291,558801,0.41,1.2296,9.7226
6,22,0,5720,552593,1.04,5.2611,10.8823
6,22,1,1819,548122,0.33,5.2611,10.8823
6,25,0,5345,546215,0.98,3.2631,11.8118
6,25,1,1597,542836,0.29,3.2631,11.8118
6,37,0,3111,494731,0.63,3.2631,11.8118
6,37,1,1008,502146,0.2,3.2631,11.8118
6,9,0,2603,290133,0.9,2.9034,11.6429
6,9,1,819,302254,0.27,2.9034,11.6429
6,49,0,1582,86617,1.83,3.2631,11.8118
6,49,1,175,84748,0.21,3.2631,11.8118
6,8,0,2105,188155,1.12,3.2631,10.7
6,8,1,624,184035,0.34,3.2631,10.7
6,26,0,3901,241096,1.62,1.8335,11.7992
6,26,1,867,251727,0.34,1.8335,11.7992
6,34,0,1300,84416,1.54,3.2631,10.092
6,34,1,227,85885,0.26,3.2631,10.092
6,36,0,1550,171226,0.91,3.2631,11.8118
6,36,1,385,178399,0.22,3.2631,11.8118
6,38,0,663,82478,0.8,3.2631,11.8118
6,38,1,253,80458,0.31,3.2631,11.8118
6,40,0,717,47977,1.49,1.6333,12.0589
6,40,1,78,46486,0.17,1.6333,12.0589
6,45,0,4476,261249,1.71,1.1134,10.2299
6,45,1,880,271394,0.32,1.1134,10.2299
6,46,0,1754,95062,1.85,1.5228,5.6478
6,46,1,327,96244,0.34,1.5228,5.6478
6,1,0,1522,201085,0.76,3.2631,11.8118
6,1,1,250,200505,0.12,3.2631,11.8118
6,11,0,3158,262148,1.2,4.3717,11.8663
6,11,1,527,264134,0.2,4.3717,11.8663
6,12,0,757,108781,0.7,3.2631,11.8118
6,12,1,59,105971,0.06,3.2631,11.8118
6,19,0,603,132200,0.46,3.2631,5.256
6,19,1,122,125531,0.1,3.2631,5.256
6,43,0,4730,358439,1.32,2.9287,6.3324
6,43,1,926,347143,0.27,2.9287,6.3324
6,6,0,38147,2703747,1.41,5.6978,15.9587
6,6,1,9746,2814529,0.35,5.6978,15.9587
6,17,0,4078,378879,1.08,3.4098,12.3267
6,17,1,787,372721,0.21,3.4098,12.3267
6,27,0,2623,223077,1.18,3.2177,14.1716
6,27,1,451,215135,0.21,3.2177,14.1716
6,41,0,5422,407510,1.33,4.3608,12.8321
6,41,1,1336,399394,0.33,4.3608,12.8321
6,2,0,9855,924452,1.07,3.5353,13.3098
6,2,1,3010,928757,0.32,3.5353,13.3098
6,10,0,4259,297669,1.43,3.1679,12.6523
6,10,1,870,296255,0.29,3.1679,12.6523
6,44,0,14218,1265539,1.12,2.9603,12.7479
6,44,1,3067,1296975,0.24,2.9603,12.7479
6,5,0,4916,343428,1.43,5.2046,8.3991
6,5,1,701,348413,0.2,5.2046,8.3991
6,13,0,2861,206095,1.39,5.1063,9.8227
6,13,1,427,206406,0.21,5.1063,9.8227
6,0,0,9320,549265,1.7,3.2631,12.4681
6,0,1,1792,591913,0.3,3.2631,12.4681
6,28,0,1664,169176,0.98,3.2631,7.0221
6,28,1,414,178452,0.23,3.2631,7.0221
6,33,0,2091,158517,1.32,3.2631,11.8118
6,33,1,607,169670,0.36,3.2631,11.8118
