Año,Emisión,Emisión_ID,Provincia,Provincia_ID,Emisión Anual
2012,As,1,Álava,1,0.3552
2012,As,1,Alicante,3,0.2681
2012,As,1,Almería,4,0.5523
2012,As,1,Badajoz,6,0.3676
2012,As,1,Islas Baleares,7,1.1795
2012,As,1,Barcelona,8,1.3641
2012,As,1,Cáceres,10,0.2121
2012,As,1,Cádiz,11,0.9225
2012,As,1,Castellón,12,0.6681
2012,As,1,Ciudad Real,13,0.6776
2012,As,1,Córdoba,14,0.6451
2012,As,1,Girona,17,0.5862
2012,As,1,Granada,18,0.4263
2012,As,1,Huelva,21,3.3463
2012,As,1,Jaén,23,0.4337
2012,As,1,León,24,0.252
2012,As,1,Lleida,25,0.5632
2012,As,1,Madrid,28,1.1083
2012,As,1,Málaga,29,0.3851
2012,As,1,Murcia,30,0.2315
2012,As,1,Asturias,33,0.1432
2012,As,1,Cantabria,39,0.239
2012,As,1,Sevilla,41,0.8611
2012,As,1,Soria,42,0.1575
2012,As,1,Tarragona,43,0.5462
2012,As,1,Toledo,45,0.4972
2012,As,1,Valencia,46,0.401
2012,As,1,Valladolid,47,0.0698
2012,As,1,Bizkaia,48,0.7331
2012,As,1,Zamora,49,0.1291
2012,BaP,2,Álava,1,0.1368
2012,BaP,2,Alicante,3,0.0902
2012,BaP,2,Badajoz,6,0.0325
2012,BaP,2,Islas Baleares,7,0.0154
2012,BaP,2,Barcelona,8,0.2245
2012,BaP,2,Cáceres,10,0.039
2012,BaP,2,Castellón,12,0.0854
2012,BaP,2,Ciudad Real,13,0.3992
2012,BaP,2,Girona,17,0.3516
2012,BaP,2,Granada,18,0.0845
2012,BaP,2,Lleida,25,0.5552
2012,BaP,2,Madrid,28,0.1188
2012,BaP,2,Asturias,33,0.0469
2012,BaP,2,Cantabria,39,0.2693
2012,BaP,2,Tarragona,43,0.134
2012,BaP,2,Toledo,45,0.1009
2012,BaP,2,Valencia,46,0.141
2012,BaP,2,Bizkaia,48,0.1629
2012,Cd,3,Álava,1,0.202
2012,Cd,3,Alicante,3,0.0821
2012,Cd,3,Almería,4,0.0843
2012,Cd,3,Badajoz,6,0.0606
2012,Cd,3,Islas Baleares,7,0.1801
2012,Cd,3,Barcelona,8,0.3362
2012,Cd,3,Cáceres,10,0.0505
2012,Cd,3,Cádiz,11,0.1749
2012,Cd,3,Castellón,12,0.2805
2012,Cd,3,Ciudad Real,13,0.0824
2012,Cd,3,Córdoba,14,1.1759
2012,Cd,3,Girona,17,0.1691
2012,Cd,3,Granada,18,0.1063
2012,Cd,3,Huelva,21,0.4467
2012,Cd,3,Jaén,23,0.0924
