,Año,Emisión,Emisión_ID,Provincia,Provincia_ID,Emisión Anual
0,2012,As,1,Álava,1,0.3552
1,2012,BaP,2,Albacete,2,0.1264
2,2012,Cd,3,Alicante,3,0.0821
3,2012,Ni,4,Almería,4,4.8142
4,2012,PM10,5,Ávila,5,19.2809
5,2012,PM25,6,Badajoz,6,7.8289
6,2012,Pb,7,Islas Baleares,7,0.0029
7,2012,As,1,Barcelona,8,1.3641
8,2012,BaP,2,Burgos,9,0.1264
9,2012,Cd,3,Cáceres,10,0.0505
10,2012,Ni,4,Cádiz,11,14.0723
11,2012,PM10,5,Castellón,12,19.1205
12,2012,PM25,6,Ciudad Real,13,12.0044
13,2012,Pb,7,Córdoba,14,0.0233
14,2012,As,1,A Coruña,15,0.4654
15,2012,BaP,2,Cuenca,16,0.1264
16,2012,Cd,3,Girona,17,0.1691
17,2012,Ni,4,Granada,18,6.2608
18,2012,PM10,5,Guadalajara,19,9.5887
19,2012,PM25,6,Gipuzkoa,20,12.0044
20,2012,Pb,7,Huelva,21,0.0109
21,2012,As,1,Huesca,22,0.4654
22,2012,BaP,2,Jaén,23,0.1264
23,2012,Cd,3,León,24,0.061
24,2012,Ni,4,Lleida,25,2.5188
25,2012,PM10,5,La Rioja,26,19.2809
26,2012,PM25,6,Lugo,27,7.5726
27,2012,Pb,7,Madrid,28,0.0039
28,2012,As,1,Málaga,29,0.3851
29,2012,BaP,2,Murcia,30,0.1264
30,2012,Cd,3,Navarra,31,0.1242
31,2012,Ni,4,Ourense,32,2.6689
32,2012,PM10,5,Asturias,33,16.1868
33,2012,PM25,6,Palencia,34,12.0044
34,2012,Pb,7,Las Palmas,35,0.0046
35,2012,As,1,Pontevedra,36,0.4654
36,2012,BaP,2,Salamanca,37,0.1264
37,2012,Cd,3,Santa Cruz de Tenerife,38,0.1242
38,2012,Ni,4,Cantabria,39,2.4345
39,2012,PM10,5,Segovia,40,19.2809
40,2012,PM25,6,Sevilla,41,14.2155
41,2012,Pb,7,Soria,42,0.0019
42,2012,As,1,Tarragona,43,0.5462
43,2012,BaP,2,Teruel,44,0.1264
44,2012,Cd,3,Toledo,45,0.2103
45,2012,Ni,4,Valencia,46,2.4445
46,2012,PM10,5,Valladolid,47,14.0081
47,2012,PM25,6,Bizkaia,48,11.9422
48,2012,Pb,7,Zamora,49,0.0018
49,2012,As,1,Zaragoza,50,0.4654
50,2012,BaP,2,Álava,1,0.1368
51,2012,Cd,3,Albacete,2,0.1242
52,2012,Ni,4,Alicante,3,3.1832
53,2012,PM10,5,Almería,4,25.3795
54,2012,PM25,6,Ávila,5,12.0044
55,2012,Pb,7,Badajoz,6,0.0023
56,2012,As,1,Islas Baleares,7,1.1795
57,2012,BaP,2,Barcelona,8,0.2245
58,2012,Cd,3,Burgos,9,0.1242
59,2012,Ni,4,Cáceres,10,4.8414
60,2012,PM10,5,Cádiz,11,26.0824
61,2012,PM25,6,Castellón,12,13.7981
62,2012,Pb,7,Ciudad Real,13,0.0047
63,2012,As,1,Córdoba,14,0.6451
64,2012,BaP,2,A Coruña,15,0.1264
65,2012,Cd,3,Cuenca,16,0.1242
66,2012,Ni,4,Girona,17,2.6451
67,2012,PM10,5,Granada,18,36.6532
68,2012,PM25,6,Guadalajara,19,4.7083
69,2012,Pb,7,Gipuzkoa,20,0.0046
70,2012,As,1,Huelva,21,3.3463
71,2012,BaP,2,Huesca,22,0.1264
72,2012,Cd,3,Jaén,23,0.0924
73,2012,Ni,4,León,24,1.5174
74,2012,PM10,5,Lleida,25,22.9759
75,2012,PM25,6,La Rioja,26,10.423
76,2012,Pb,7,Lugo,27,0.0046
77,2012,As,1,Madrid,28,1.1083
78,2012,BaP,2,Málaga,29,0.1264
79,2012,Cd,3,Murcia,30,0.1319
80,2012,Ni,4,Navarra,31,2.6689
81,2012,PM10,5,Ourense,32,19.2809
82,2012,PM25,6,Asturias,33,9.7144
83,2012,Pb,7,Palencia,34,0.0046
84,2012,As,1,Las Palmas,35,0.4654
85,2012,BaP,2,Pontevedra,36,0.1264
86,2012,Cd,3,Salamanca,37,0.1242
87,2012,Ni,4,Santa Cruz de Tenerife,38,2.6689
88,2012,PM10,5,Cantabria,39,19.2809
89,2012,PM25,6,Segovia,40,12.0044
90,2012,Pb,7,Sevilla,41,0.0068
91,2012,As,1,Soria,42,0.1575
92,2012,BaP,2,Tarragona,43,0.134
93,2012,Cd,3,Teruel,44,0.1242
94,2012,Ni,4,Toledo,45,2.2187
95,2012,PM10,5,Valencia,46,22.3915
96,2012,PM25,6,Valladolid,47,12.0044
97,2012,Pb,7,Bizkaia,48,0.0498
