Año,Provincia,Provincia_ID,Sexo,Habitantes
2021,Albacete,2,Hombres,193487
2020,Albacete,2,Hombres,193913
2019,Albacete,2,Hombres,193806
2018,Albacete,2,Hombres,194405
2017,Albacete,2,Hombres,195065
2016,Albacete,2,Hombres,195901
2015,Albacete,2,Hombres,196954
2014,Albacete,2,Hombres,197966
2013,Albacete,2,Hombres,199610
2012,Albacete,2,Hombres,201085
2021,Alicante,3,Hombres,935234
2020,Alicante,3,Hombres,931343
2019,Alicante,3,Hombres,920332
2018,Alicante,3,Hombres,912364
2017,Alicante,3,Hombres,911889
2016,Alicante,3,Hombres,913425
2015,Alicante,3,Hombres,914344
2014,Alicante,3,Hombres,920331
2013,Alicante,3,Hombres,923244
2012,Alicante,3,Hombres,924452
2021,Almería,4,Hombres,372823
2020,Almería,4,Hombres,369224
2019,Almería,4,Hombres,363885
2018,Almería,4,Hombres,359689
2017,Almería,4,Hombres,358283
2016,Almería,4,Hombres,355550
2015,Almería,4,Hombres,351880
2014,Almería,4,Hombres,350233
2013,Almería,4,Hombres,351692
2012,Almería,4,Hombres,350979
2021,Álava,1,Hombres,164299
2020,Álava,1,Hombres,163924
2019,Álava,1,Hombres,162685
2018,Álava,1,Hombres,161464
2017,Álava,1,Hombres,160464
2016,Álava,1,Hombres,159415
2015,Álava,1,Hombres,158890
2014,Álava,1,Hombres,158636
2013,Álava,1,Hombres,158942
2012,Álava,1,Hombres,159551
2021,Asturias,33,Hombres,483186
2020,Asturias,33,Hombres,486142
2019,Asturias,33,Hombres,487926
2018,Asturias,33,Hombres,490804
2017,Asturias,33,Hombres,493967
2016,Asturias,33,Hombres,497543
2015,Asturias,33,Hombres,502026
2014,Asturias,33,Hombres,506921
2013,Asturias,33,Hombres,511725
2012,Asturias,33,Hombres,515503
2021,Ávila,5,Hombres,79884
2020,Ávila,5,Hombres,79867
2019,Ávila,5,Hombres,80095
2018,Ávila,5,Hombres,80607
2017,Ávila,5,Hombres,81528
2016,Ávila,5,Hombres,82537
2015,Ávila,5,Hombres,83617
2014,Ávila,5,Hombres,84430
2013,Ávila,5,Hombres,85504
2012,Ávila,5,Hombres,86617
2021,Badajoz,6,Hombres,331856
2020,Badajoz,6,Hombres,332402
2019,Badajoz,6,Hombres,333374
2018,Badajoz,6,Hombres,334679
2017,Badajoz,6,Hombres,336579
2016,Badajoz,6,Hombres,338718
2015,Badajoz,6,Hombres,340525
2014,Badajoz,6,Hombres,341727
2013,Badajoz,6,Hombres,342996
2012,Badajoz,6,Hombres,343428
2021,Islas Baleares,7,Hombres,590990
2020,Islas Baleares,7,Hombres,588145
2019,Islas Baleares,7,Hombres,578751
2018,Islas Baleares,7,Hombres,570092
2017,Islas Baleares,7,Hombres,563624
2016,Islas Baleares,7,Hombres,558124
2015,Islas Baleares,7,Hombres,555297
2014,Islas Baleares,7,Hombres,553810
2013,Islas Baleares,7,Hombres,554043
2012,Islas Baleares,7,Hombres,552593
2021,Barcelona,8,Hombres,2785890
2020,Barcelona,8,Hombres,2777396
2019,Barcelona,8,Hombres,2741102
2018,Barcelona,8,Hombres,2706061
2017,Barcelona,8,Hombres,2682414
2016,Barcelona,8,Hombres,2666417
2015,Barcelona,8,Hombres,2657305
2014,Barcelona,8,Hombres,2662541
2013,Barcelona,8,Hombres,2688360
2012,Barcelona,8,Hombres,2703747
2021,Bizkaia,48,Hombres,557190
2020,Bizkaia,48,Hombres,557513
2019,Bizkaia,48,Hombres,553909
2018,Bizkaia,48,Hombres,551938
2017,Bizkaia,48,Hombres,550727
2016,Bizkaia,48,Hombres,550339
2015,Bizkaia,48,Hombres,550847
2014,Bizkaia,48,Hombres,551942
2013,Bizkaia,48,Hombres,556029
2012,Bizkaia,48,Hombres,559733
2021,Burgos,9,Hombres,178040
2020,Burgos,9,Hombres,178589
2019,Burgos,9,Hombres,178450
2018,Burgos,9,Hombres,178882
2017,Burgos,9,Hombres,179586
2016,Burgos,9,Hombres,180766
2015,Burgos,9,Hombres,182465
2014,Burgos,9,Hombres,183831
2013,Burgos,9,Hombres,185851
2012,Burgos,9,Hombres,188155
2021,Cáceres,10,Hombres,193987
2020,Cáceres,10,Hombres,195325
2019,Cáceres,10,Hombres,196275
2018,Cáceres,10,Hombres,197613
2017,Cáceres,10,Hombres,199287
2016,Cáceres,10,Hombres,201008
2015,Cáceres,10,Hombres,202513
2014,Cáceres,10,Hombres,203688
2013,Cáceres,10,Hombres,204817
2012,Cáceres,10,Hombres,206095
2021,Cádiz,11,Hombres,616595
2020,Cádiz,11,Hombres,616067
2019,Cádiz,11,Hombres,614651
2018,Cádiz,11,Hombres,615670
2017,Cádiz,11,Hombres,616604
2016,Cádiz,11,Hombres,617530
2015,Cádiz,11,Hombres,618625
2014,Cádiz,11,Hombres,619175
2013,Cádiz,11,Hombres,620255
2012,Cádiz,11,Hombres,620463
2021,Cantabria,39,Hombres,283854
2020,Cantabria,39,Hombres,283117
2019,Cantabria,39,Hombres,282808
2018,Cantabria,39,Hombres,282991
2017,Cantabria,39,Hombres,283310
2016,Cantabria,39,Hombres,284039
2015,Cantabria,39,Hombres,285739
2014,Cantabria,39,Hombres,287118
2013,Cantabria,39,Hombres,288490
2012,Cantabria,39,Hombres,290133
2021,Castellón,12,Hombres,291857
2020,Castellón,12,Hombres,290217
2019,Castellón,12,Hombres,288052
2018,Castellón,12,Hombres,286385
2017,Castellón,12,Hombres,285975
2016,Castellón,12,Hombres,286315
2015,Castellón,12,Hombres,287653
2014,Castellón,12,Hombres,289323
2013,Castellón,12,Hombres,293197
2012,Castellón,12,Hombres,297669
2021,Ciudad Real,13,Hombres,244112
2020,Ciudad Real,13,Hombres,244993
2019,Ciudad Real,13,Hombres,245314
2018,Ciudad Real,13,Hombres,247163
2017,Ciudad Real,13,Hombres,249943
2016,Ciudad Real,13,Hombres,252399
2015,Ciudad Real,13,Hombres,255412
2014,Ciudad Real,13,Hombres,257524
2013,Ciudad Real,13,Hombres,260099
2012,Ciudad Real,13,Hombres,262148
2021,Córdoba,14,Hombres,380859
2020,Córdoba,14,Hombres,382636
2019,Córdoba,14,Hombres,382942
2018,Córdoba,14,Hombres,384813
