Provincia_ID,Provincia,Año,As,BaP,Cd,Ni,PM10,PM25,Pb
1,Álava,2012,0.3552,0.1368,0.202,2.3649,10.6331,12.0044,0.016
1,Álava,2013,0.2968,0.1169,0.2,2.2728,8.6599,10.3196,0.0116
1,Álava,2014,0.2861,0.0712,0.2174,2.1991,9.1116,10.5768,0.0119
1,Álava,2015,0.3708,0.1018,0.226,2.2882,14.5551,11.9113,0.014
1,Álava,2016,0.3047,0.107,0.2041,2.1727,12.5081,9.9329,0.0135
1,Álava,2017,0.3552,0.1591,0.22,2.9395,14.1855,7.8364,0.0129
1,Álava,2018,0.3618,0.0835,0.204,2.3335,13.5452,7.5846,0.0123
1,Álava,2019,0.3449,0.0747,0.2051,2.2446,12.446,7.5846,0.0138
1,Álava,2020,0.3183,0.0777,0.2109,2.1519,11.3468,7.5846,0.012
1,Álava,2021,0.3303,0.0614,0.2345,2.2516,11.5903,7.5846,0.015
2,Albacete,2012,0.4654,0.1264,0.1242,2.6689,19.2809,12.0044,0.0046
2,Albacete,2013,0.7,0.14,0.8535,2.8306,16.4569,10.3196,0.0045
2,Albacete,2014,0.495,0.0958,0.5705,1.9759,18.1328,10.5768,0.0032
2,Albacete,2015,0.29,0.0516,0.2876,1.1213,20.093,11.9113,0.002
2,Albacete,2016,0.085,0.0074,0.0046,0.2666,17.1089,9.9329,0.0007
2,Albacete,2017,1.805,0.0544,0.347,1.414,27.1062,11.1733,0.004
2,Albacete,2018,0.3485,0.0488,0.3485,0.3937,24.5067,10.2078,0.0006
2,Albacete,2019,0.5513,0.0759,0.0431,0.8717,24.5067,10.2078,0.0017
2,Albacete,2020,0.4175,0.0194,0.0304,0.4378,24.5067,10.2078,0.0006
2,Albacete,2021,0.3981,0.0184,0.0368,0.4847,24.5067,10.2078,0.0013
3,Alicante,2012,0.2681,0.0902,0.0821,3.1832,21.9283,13.4266,0.0019
3,Alicante,2013,0.1855,0.0601,0.0636,2.3022,18.4981,12.5175,0.001
3,Alicante,2014,0.3165,0.0565,0.0607,3.5916,20.181,11.4374,0.0015
3,Alicante,2015,0.214,0.0691,0.0626,2.6108,20.5398,12.7795,0.0019
3,Alicante,2016,0.1963,0.0497,0.0191,2.4969,18.7659,10.9758,0.0101
3,Alicante,2017,0.3035,0.07,0.0156,2.4685,17.8658,9.5615,0.0101
3,Alicante,2018,0.2237,0.0635,0.0559,2.7315,16.2365,9.3225,0.01
3,Alicante,2019,0.3643,0.0839,0.0665,2.592,19.2146,11.7245,0.0119
3,Alicante,2020,0.7493,0.0628,0.0578,1.9924,17.9861,14.7463,0.01
3,Alicante,2021,0.2227,0.0836,0.0525,1.812,17.7357,11.4218,0.0099
4,Almería,2012,0.5523,0.1264,0.0843,4.8142,25.3795,12.9886,0.0045
4,Almería,2013,0.4211,0.0317,0.0801,5.0544,24.1902,11.3938,0.0049
4,Almería,2014,0.4462,0.053,0.066,4.5535,22.5959,11.461,0.0046
4,Almería,2015,0.5242,0.0725,0.1256,4.9267,22.333,11.3795,0.0039
4,Almería,2016,0.4061,0.0509,0.13,3.9667,22.6522,10.0296,0.0032
4,Almería,2017,0.4577,0.0458,0.0842,5.5469,22.8007,10.3202,0.0044
4,Almería,2018,0.2607,0.0693,0.0846,2.5126,22.4925,12.076,0.0018
4,Almería,2019,0.5208,0.0926,0.0681,5.7238,21.1915,10.4288,0.0039
4,Almería,2020,0.419,0.1059,0.0588,2.9133,19.5334,6.9119,0.0034
4,Almería,2021,0.376,0.1438,0.1327,2.6895,23.1446,7.1662,0.004
5,Ávila,2012,0.4654,0.1264,0.1242,2.6689,19.2809,12.0044,0.0046
