Diagnóstico_ID,Año,Diagnóstico,Sexo,Provincia,Provincia_ID,Hospitalizaciones
1,2020,"Neoplasia maligna de tráquea, bronquios y pulmón",Hombres,A Coruña,15,6471
1,2020,"Neoplasia maligna de tráquea, bronquios y pulmón",Hombres,Albacete,2,1201
1,2020,"Neoplasia maligna de tráquea, bronquios y pulmón",Hombres,Alicante,3,9270
1,2020,"Neoplasia maligna de tráquea, bronquios y pulmón",Hombres,Almería,4,2717
1,2020,"Neoplasia maligna de tráquea, bronquios y pulmón",Hombres,Asturias,33,5491
1,2020,"Neoplasia maligna de tráquea, bronquios y pulmón",Hombres,Badajoz,6,3263
1,2020,"Neoplasia maligna de tráquea, bronquios y pulmón",Hombres,Barcelona,8,37561
1,2020,"Neoplasia maligna de tráquea, bronquios y pulmón",Hombres,Bizkaia,48,5546
1,2020,"Neoplasia maligna de tráquea, bronquios y pulmón",Hombres,Burgos,9,1936
1,2020,"Neoplasia maligna de tráquea, bronquios y pulmón",Hombres,Cantabria,39,2769
1,2020,"Neoplasia maligna de tráquea, bronquios y pulmón",Hombres,Castellón,12,3563
1,2020,"Neoplasia maligna de tráquea, bronquios y pulmón",Hombres,Ceuta,51,337
1,2020,"Neoplasia maligna de tráquea, bronquios y pulmón",Hombres,Ciudad Real,13,2966
1,2020,"Neoplasia maligna de tráquea, bronquios y pulmón",Hombres,Cuenca,16,680
1,2020,"Neoplasia maligna de tráquea, bronquios y pulmón",Hombres,Cáceres,10,1773
1,2020,"Neoplasia maligna de tráquea, bronquios y pulmón",Hombres,Cádiz,11,6133
1,2020,"Neoplasia maligna de tráquea, bronquios y pulmón",Hombres,Córdoba,14,2115
1,2020,"Neoplasia maligna de tráquea, bronquios y pulmón",Hombres,Gipuzkoa,20,3276
1,2020,"Neoplasia maligna de tráquea, bronquios y pulmón",Hombres,Girona,17,3847
1,2020,"Neoplasia maligna de tráquea, bronquios y pulmón",Hombres,Granada,18,2355
1,2020,"Neoplasia maligna de tráquea, bronquios y pulmón",Hombres,Guadalajara,19,622
1,2020,"Neoplasia maligna de tráquea, bronquios y pulmón",Hombres,Huelva,21,2506
1,2020,"Neoplasia maligna de tráquea, bronquios y pulmón",Hombres,Huesca,22,1063
1,2020,"Neoplasia maligna de tráquea, bronquios y pulmón",Hombres,Islas Baleares,7,6217
1,2020,"Neoplasia maligna de tráquea, bronquios y pulmón",Hombres,Jaén,23,2215
1,2020,"Neoplasia maligna de tráquea, bronquios y pulmón",Hombres,La Rioja,26,1397
1,2020,"Neoplasia maligna de tráquea, bronquios y pulmón",Hombres,Las Palmas,35,5535
1,2020,"Neoplasia maligna de tráquea, bronquios y pulmón",Hombres,León,24,2048
1,2020,"Neoplasia maligna de tráquea, bronquios y pulmón",Hombres,Lleida,25,1914
1,2020,"Neoplasia maligna de tráquea, bronquios y pulmón",Hombres,Lugo,27,1249
1,2020,"Neoplasia maligna de tráquea, bronquios y pulmón",Hombres,Madrid,28,24719
1,2020,"Neoplasia maligna de tráquea, bronquios y pulmón",Hombres,Melilla,52,234
1,2020,"Neoplasia maligna de tráquea, bronquios y pulmón",Hombres,Murcia,30,6078
1,2020,"Neoplasia maligna de tráquea, bronquios y pulmón",Hombres,Málaga,29,6118
1,2020,"Neoplasia maligna de tráquea, bronquios y pulmón",Hombres,Navarra,31,3678
1,2020,"Neoplasia maligna de tráquea, bronquios y pulmón",Hombres,Ourense,32,1577
1,2020,"Neoplasia maligna de tráquea, bronquios y pulmón",Hombres,Palencia,34,1327
1,2020,"Neoplasia maligna de tráquea, bronquios y pulmón",Hombres,Pontevedra,36,4173
1,2020,"Neoplasia maligna de tráquea, bronquios y pulmón",Hombres,Salamanca,37,1365
1,2020,"Neoplasia maligna de tráquea, bronquios y pulmón",Hombres,Santa Cruz de Tenerife,38,3841
