Edad simple;Sexo;Provincias;Periodo;Total
Todas las edades;Total;02 Albacete;1 de enero de 2021;386.726
Todas las edades;Total;02 Albacete;1 de enero de 2020;387.838
Todas las edades;Total;02 Albacete;1 de enero de 2019;387.818
Todas las edades;Total;02 Albacete;1 de enero de 2018;388.948
Todas las edades;Total;02 Albacete;1 de enero de 2017;390.225
Todas las edades;Total;02 Albacete;1 de enero de 2016;391.865
Todas las edades;Total;02 Albacete;1 de enero de 2015;394.012
Todas las edades;Total;02 Albacete;1 de enero de 2014;396.017
Todas las edades;Total;02 Albacete;1 de enero de 2013;399.093
Todas las edades;Total;02 Albacete;1 de enero de 2012;401.590
Todas las edades;Total;03 Alicante/Alacant;1 de enero de 2021;1.887.036
Todas las edades;Total;03 Alicante/Alacant;1 de enero de 2020;1.877.627
Todas las edades;Total;03 Alicante/Alacant;1 de enero de 2019;1.855.384
Todas las edades;Total;03 Alicante/Alacant;1 de enero de 2018;1.839.319
Todas las edades;Total;03 Alicante/Alacant;1 de enero de 2017;1.836.715
Todas las edades;Total;03 Alicante/Alacant;1 de enero de 2016;1.837.873
Todas las edades;Total;03 Alicante/Alacant;1 de enero de 2015;1.838.578
Todas las edades;Total;03 Alicante/Alacant;1 de enero de 2014;1.848.236
Todas las edades;Total;03 Alicante/Alacant;1 de enero de 2013;1.852.733
Todas las edades;Total;03 Alicante/Alacant;1 de enero de 2012;1.853.209
Todas las edades;Total;04 Almería;1 de enero de 2021;730.430
Todas las edades;Total;04 Almería;1 de enero de 2020;724.003
Todas las edades;Total;04 Almería;1 de enero de 2019;714.123
Todas las edades;Total;04 Almería;1 de enero de 2018;707.319
Todas las edades;Total;04 Almería;1 de enero de 2017;704.871
Todas las edades;Total;04 Almería;1 de enero de 2016;700.055
Todas las edades;Total;04 Almería;1 de enero de 2015;694.051
Todas las edades;Total;04 Almería;1 de enero de 2014;690.750
Todas las edades;Total;04 Almería;1 de enero de 2013;692.434
Todas las edades;Total;04 Almería;1 de enero de 2012;689.320
Todas las edades;Total;01 Araba/Álava;1 de enero de 2021;333.485
